city,state,lat,lng
College Station,TX,30.5852,-96.2960
Kalamazoo,MI,42.2749,-85.5882
Thousand Oaks,CA,34.1914,-118.8755
Roanoke,VA,37.2785,-79.9580
Fontana,CA,34.0968,-117.4599
Moreno Valley,CA,33.9244,-117.2045
North Port,FL,27.0577,-82.1975
Fargo,ND,46.8652,-96.8292
Green Bay,WI,44.5150,-87.9896
Spring Valley,NV,36.0987,-115.2619
Amarillo,TX,35.1988,-101.8311
Portland,ME,43.6773,-70.2715
Santa Barbara,CA,34.4285,-119.7202
Gainesville,FL,29.6804,-82.3458
Olympia,WA,47.0417,-122.8959
Frisco,TX,33.1555,-96.8215
Yonkers,NY,40.9466,-73.8674
Norwich,CT,41.5495,-72.0882
Glendale,CA,34.1818,-118.2468
Huntington Beach,CA,33.6960,-118.0025
Deltona,FL,28.9050,-81.2137
Aurora,IL,41.7637,-88.2901
Tempe,AZ,33.3881,-111.9318
Overland Park,KS,38.8870,-94.6870
Grand Prairie,TX,32.6872,-97.0209
Sunrise Manor,NV,36.1785,-115.0490
Waco,TX,31.5598,-97.1881
Salinas,CA,36.6884,-121.6317
Waterbury,CT,41.5583,-73.0361
Clarksville,TN,36.5695,-87.3420
Cedar Rapids,IA,41.9665,-91.6782
Sioux Falls,SD,43.5397,-96.7320
Huntington,WV,38.4109,-82.4344
Ontario,CA,34.0393,-117.6064
Hagerstown,MD,39.6401,-77.7217
Erie,PA,42.1168,-80.0733
Vancouver,WA,45.6366,-122.5967
Nampa,ID,43.5845,-116.5631
Spartanburg,SC,34.9437,-81.9257
Gastonia,NC,35.2494,-81.1853
Fort Lauderdale,FL,26.1412,-80.1464
Lorain,OH,41.4409,-82.1840
Murfreesboro,TN,35.8492,-86.4119
High Point,NC,35.9907,-79.9938
Newport News,VA,37.1051,-76.5185
Rancho Cucamonga,CA,34.1248,-117.5666
Hemet,CA,33.7341,-116.9969
Santa Cruz,CA,36.9789,-122.0346
Danbury,CT,41.4016,-73.4710
Peoria,AZ,33.7844,-112.2989
Oceanside,CA,33.2247,-117.3083
Elk Grove,CA,38.4160,-121.3842
Pembroke Pines,FL,26.0128,-80.3382
Vallejo,CA,38.1133,-122.2358
Garden Grove,CA,33.7787,-117.9601
Enterprise,NV,36.0164,-115.2208
Medford,OR,42.3372,-122.8537
Cary,NC,35.7820,-78.8191
Marysville,WA,48.0809,-122.1561
Corona,CA,33.8616,-117.5649
Ocala,FL,29.1780,-82.1511
Fredericksburg,VA,38.2992,-77.4872
Gainesville,GA,34.2903,-83.8301
Manchester,NH,42.9848,-71.4447
Bayamon,PR,18.3793,-66.1635
Champaign,IL,40.1144,-88.2735
Alexandria,VA,38.8185,-77.0861
Hayward,CA,37.6328,-122.0772
Springfield,IL,39.7710,-89.6538
Lakewood,CO,39.6977,-105.1168
Lafayette,IN,40.3990,-86.8594
Frederick,MD,39.4336,-77.4141
Lake Charles,LA,30.2012,-93.2122
Odessa,TX,31.8831,-102.3406
Tuscaloosa,AL,33.2348,-87.5267
Warner Robins,GA,32.5970,-83.6529
Palmdale,CA,34.5944,-118.1057
Hollywood,FL,26.0294,-80.1679
Midland,TX,32.0249,-102.1137
Leesburg,FL,28.7657,-81.8996
Port Arthur,TX,29.8554,-93.9264
Muskegon,MI,43.2281,-86.2563
Macon,GA,32.8065,-83.6974
Kansas City,KS,39.1234,-94.7443
Sunnyvale,CA,37.3836,-122.0256
Pomona,CA,34.0585,-117.7626
Escondido,CA,33.1347,-117.0722
Pasadena,TX,29.6583,-95.1499
New Bedford,MA,41.6697,-70.9428
Fairfield,CA,38.2592,-122.0324
Naperville,IL,41.7483,-88.1657
Bellevue,WA,47.5951,-122.1535
Binghamton,NY,42.1014,-75.9093
Elkhart,IN,41.6916,-85.9628
Topeka,KS,39.0346,-95.6955
Joliet,IL,41.5189,-88.1499
Beaumont,TX,30.0849,-94.1451
Paterson,NJ,40.9147,-74.1624
Merced,CA,37.3057,-120.4778
Pueblo,CO,38.2705,-104.6112
Tyler,TX,32.3184,-95.3062
Torrance,CA,33.8346,-118.3417
Yuma,AZ,32.5992,-114.5488
Metairie,LA,29.9977,-90.1780
Surprise,AZ,33.6800,-112.4524
Columbia,MO,38.9478,-92.3256
Athens,GA,33.9508,-83.3689
Roseville,CA,38.7703,-121.3196
Thornton,CO,39.9197,-104.9438
Miramar,FL,25.9773,-80.3351
Pasadena,CA,34.1597,-118.1390
Mesquite,TX,32.7623,-96.5889
Olathe,KS,38.8832,-94.8198
Santa Maria,CA,34.9334,-120.4432
Houma,LA,29.5799,-90.7058
Carrollton,TX,32.9890,-96.8999
Grand Junction,CO,39.0876,-108.5673
Charleston,WV,38.3484,-81.6323
Orange,CA,33.8038,-117.8218
Fullerton,CA,33.8841,-117.9279
Greeley,CO,40.4151,-104.7706
Carolina,PR,18.4054,-65.9792
Las Cruces,NM,32.3265,-106.7892
Panama City,FL,30.1995,-85.6004
Harlingen,TX,26.1917,-97.6976
West Valley City,UT,40.6889,-112.0115
Hampton,VA,37.0551,-76.3630
Warren,MI,42.4934,-83.0270
Mauldin,SC,34.7849,-82.3005
Bloomington,IL,40.4757,-88.9703
Coral Springs,FL,26.2702,-80.2591
Round Rock,TX,30.5254,-97.6660
Yakima,WA,46.5923,-120.5496
Sterling Heights,MI,42.5809,-83.0305
Kent,WA,47.3887,-122.2129
Burlington,NC,36.0758,-79.4686
Bellingham,WA,48.7543,-122.4687
Santa Clara,CA,37.3645,-121.9680
Racine,WI,42.7274,-87.8135
Greenville,NC,35.5956,-77.3768
Stamford,CT,41.1035,-73.5583
Elizabeth,NJ,40.6657,-74.1912
Johnson City,TN,36.3406,-82.3803
Lynchburg,VA,37.4003,-79.1909
Simi Valley,CA,34.2663,-118.7490
Fort Smith,AR,35.3493,-94.3695
Kenosha,WI,42.5864,-87.8765
Norman,OK,35.2335,-97.3471
South Lyon,MI,42.4614,-83.6526
Boulder,CO,40.0249,-105.2523
Abilene,TX,32.4543,-99.7384
Lehigh Acres,FL,26.6120,-81.6388
Pearland,TX,29.5585,-95.3215
Berkeley,CA,37.8723,-122.2760
Richardson,TX,32.9717,-96.7093
Redding,CA,40.5698,-122.3650
Arvada,CO,39.8321,-105.1511
East Los Angeles,CA,34.0326,-118.1691
St. George,UT,37.0770,-113.5770
Billings,MT,45.7891,-108.5524
Yuba City,CA,39.1357,-121.6381
Rochester,MN,44.0151,-92.4778
Leominster,MA,42.5209,-71.7717
Kingsport,TN,36.5224,-82.5453
Duluth,MN,46.7756,-92.1392
Rock Hill,SC,34.9416,-81.0244
Gilroy,CA,37.0047,-121.5855
Cambridge,MA,42.3759,-71.1185
Sugar Land,TX,29.5935,-95.6357
Texas City,TX,29.4128,-94.9658
Iowa City,IA,41.6559,-91.5303
Saginaw,MI,43.4199,-83.9501
Chico,CA,39.7575,-121.8152
Dover,DE,39.1610,-75.5203
Clearwater,FL,27.9789,-82.7622
Coeur d'Alene,ID,47.7041,-116.7935
Seaside,CA,36.6224,-121.8191
Independence,MO,39.0871,-94.3501
West Jordan,UT,40.6024,-112.0008
Brandon,FL,27.9367,-82.3000
Bloomington,IN,39.1637,-86.5257
El Monte,CA,34.0739,-118.0291
North Charleston,SC,32.9066,-80.0722
Carlsbad,CA,33.1247,-117.2837
St. Cloud,MN,45.5339,-94.1718
Temecula,CA,33.4928,-117.1315
Clovis,CA,36.8278,-119.6831
Meridian,ID,43.6112,-116.3968
The Woodlands,TX,30.1738,-95.5134
Ponce,PR,18.0120,-66.6198
Westminster,CO,39.8837,-105.0624
Costa Mesa,CA,33.6667,-117.9135
Monroe,LA,32.5183,-92.0774
Utica,NY,43.0961,-75.2260
Pompano Beach,FL,26.2428,-80.1312
West Palm Beach,FL,26.7468,-80.1316
Waterloo,IA,42.4920,-92.3522
Everett,WA,47.9525,-122.1669
El Centro,CA,32.7867,-115.5586
Santa Fe,NM,35.6619,-105.9819
Downey,CA,33.9379,-118.1312
Spring Hill,FL,28.4797,-82.5300
Lowell,MA,42.6389,-71.3217
Centennial,CO,39.5926,-104.8674
Elgin,IL,42.0385,-88.3229
Richmond,CA,37.9477,-122.3390
Broken Arrow,OK,36.0365,-95.7809
Miami Gardens,FL,25.9433,-80.2426
Bend,OR,44.0562,-121.3087
Burlington,VT,44.4877,-73.2314
Jurupa Valley,CA,34.0010,-117.4705
Sandy Springs,GA,33.9366,-84.3703
Gresham,OR,45.5023,-122.4413
Lewisville,TX,33.0452,-96.9823
Hillsboro,OR,45.5272,-122.9361
San Buenaventura,CA,34.2741,-119.2314
Jacksonville,NC,34.7288,-77.3941
Pottstown,PA,40.2507,-75.6444
Inglewood,CA,33.9566,-118.3444
League City,TX,29.4873,-95.1087
Eau Claire,WI,44.8199,-91.4949
Turlock,CA,37.5053,-120.8588
Temple,TX,31.1076,-97.3894
Sioux City,IA,42.4959,-96.3901
Salisbury,MD,38.3756,-75.5867
Davie,FL,26.0789,-80.2870
Daly City,CA,37.6862,-122.4685
Highlands Ranch,CO,39.5419,-104.9708
Allen,TX,33.1088,-96.6735
West Covina,CA,34.0555,-117.9112
Sparks,NV,39.5729,-119.7157
Wichita Falls,TX,33.9072,-98.5291
San Mateo,CA,37.5521,-122.3122
Columbia,MD,39.2004,-76.8590
Norwalk,CA,33.9069,-118.0829
Rialto,CA,34.1174,-117.3894
Manteca,CA,37.7927,-121.2264
Arden-Arcade,CA,38.6034,-121.3810
El Cajon,CA,32.8017,-116.9605
Burbank,CA,34.1879,-118.3235
Longmont,CO,40.1686,-105.1005
Renton,WA,47.4784,-122.1919
Vista,CA,33.1896,-117.2386
Logan,UT,41.7400,-111.8419
Prescott Valley,AZ,34.5983,-112.3176
Vacaville,CA,38.3590,-121.9680
Edinburg,TX,26.3197,-98.1596
Carmel,IN,39.9650,-86.1460
Spokane Valley,WA,47.6626,-117.2346
San Angelo,TX,31.4424,-100.4506
La Crosse,WI,43.8240,-91.2268
Idaho Falls,ID,43.4872,-112.0362
Holland,MI,42.7677,-86.0985
Charlottesville,VA,38.0375,-78.4855
Longview,TX,32.5193,-94.7621
Tracy,CA,37.7269,-121.4522
Boca Raton,FL,26.3752,-80.1080
Lafayette,CO,39.9949,-105.0997
Lee's Summit,MO,38.9172,-94.3816
Rio Rancho,NM,35.2872,-106.6981
South Fulton,GA,33.6269,-84.5802
Beaverton,OR,45.4779,-122.8168
Lawrence,KS,38.9597,-95.2641
Bismarck,ND,46.8144,-100.7694
Orem,UT,40.2983,-111.6992
Middletown,OH,39.5032,-84.3660
San Tan Valley,AZ,33.1879,-111.5472
San Marcos,CA,33.1350,-117.1744
Sandy,UT,40.5710,-111.8505
Federal Way,WA,47.3091,-122.3358
Mandeville,LA,30.3751,-90.0904
Hesperia,CA,34.3975,-117.3147
Brockton,MA,42.0821,-71.0242
Compton,CA,33.8930,-118.2275
Riverview,FL,27.8227,-82.3023
Fishers,IN,39.9589,-85.9661
Sunrise,FL,26.1547,-80.2997
Bowling Green,KY,36.9719,-86.4373
Roswell,GA,34.0391,-84.3513
Menifee,CA,33.6909,-117.1849
Plantation,FL,26.1260,-80.2617
Dover,NH,43.1887,-70.8845
Quincy,MA,42.2516,-71.0183
Portsmouth,VA,36.8468,-76.3540
Chino,CA,33.9836,-117.6654
Lynn,MA,42.4779,-70.9663
Edmond,OK,35.6689,-97.4159
Hanford,CA,36.3274,-119.6549
Dearborn,MI,42.3127,-83.2129
Livonia,MI,42.3972,-83.3733
South Gate,CA,33.9448,-118.1926
Vineland,NJ,39.4653,-74.9981
Florence,SC,34.1781,-79.7877
Portsmouth,NH,43.0580,-70.7826
Slidell,LA,30.2881,-89.7826
Lawton,OK,34.6176,-98.4203
Kirkland,WA,47.6974,-122.2054
Missoula,MT,46.8750,-114.0214
Auburn,AL,32.6087,-85.4899
Rapid City,SD,44.0716,-103.2204
Terre Haute,IN,39.4654,-87.3763
Suffolk,VA,36.6953,-76.6398
Blacksburg,VA,37.2300,-80.4279
Mount Pleasant,SC,32.8538,-79.8204
Carson,CA,33.8374,-118.2559
Conroe,TX,30.3239,-95.4825
Alafaya,FL,28.5278,-81.1865
Livermore,CA,37.6862,-121.7608
Westminster,CA,33.7523,-117.9938
Germantown,MD,39.1755,-77.2643
Santa Monica,CA,34.0232,-118.4813
New Braunfels,TX,29.6994,-98.1148
Fall River,MA,41.7137,-71.1014
Albany,GA,31.5776,-84.1762
Miami Beach,FL,25.8171,-80.1396
Norwalk,CT,41.1144,-73.4215
San Leandro,CA,37.7071,-122.1601
O'Fallon,MO,38.7850,-90.7175
Newton,MA,42.3316,-71.2085
Muncie,IN,40.1989,-85.3950
Citrus Heights,CA,38.6948,-121.2880
State College,PA,40.7909,-77.8568
Town 'n' Country,FL,28.0108,-82.5760
Decatur,IL,39.8556,-88.9337
Jackson,MI,42.2431,-84.4037
Fort Myers,FL,26.6195,-81.8303
Goodyear,AZ,33.2613,-112.3622
Dalton,GA,34.7690,-84.9712
Bryan,TX,30.6657,-96.3668
Waukegan,IL,42.3697,-87.8716
Hawthorne,CA,33.9146,-118.3476
Anderson,IN,40.0891,-85.6893
Redwood City,CA,37.5026,-122.2252
Hoover,AL,33.3754,-86.8064
Lake Forest,CA,33.6606,-117.6712
Napa,CA,38.2976,-122.3011
Whittier,CA,33.9678,-118.0188
Clifton,NJ,40.8631,-74.1575
Largo,FL,27.9088,-82.7711
Bloomington,MN,44.8306,-93.3151
Johns Creek,GA,34.0333,-84.2027
Newport Beach,CA,33.6151,-117.8669
Mission,TX,26.2041,-98.3251
Milpitas,CA,37.4339,-121.8921
Troy,MI,42.5818,-83.1457
Madera,CA,36.9631,-120.0782
Joplin,MO,37.0758,-94.5018
Chino Hills,CA,33.9508,-117.7253
Alhambra,CA,34.0840,-118.1355
Franklin,TN,35.9216,-86.8525
Melbourne,FL,28.1085,-80.6627
Port Huron,MI,42.9822,-82.4387
Springfield,OH,39.9297,-83.7957
Mountain View,CA,37.4000,-122.0796
Zephyrhills,FL,28.2408,-82.1796
St. Augustine,FL,29.8977,-81.3100
Flagstaff,AZ,35.1872,-111.6195
Buena Park,CA,33.8572,-118.0046
Pleasanton,CA,37.6663,-121.8805
Silver Spring,MD,39.0028,-77.0207
Atascocita,TX,29.9777,-95.1953
Westland,MI,42.3192,-83.3805
Auburn,WA,47.3039,-122.2108
Cranston,RI,41.7658,-71.4857
Somerville,MA,42.3908,-71.1013
Folsom,CA,38.6668,-121.1422
Springdale,AR,36.1899,-94.1574
Deerfield Beach,FL,26.3050,-80.1277
Warwick,RI,41.7062,-71.4334
Cicero,IL,41.8445,-87.7593
Farmington Hills,MI,42.4860,-83.3771
Newark,OH,40.0705,-82.4251
Williamsburg,VA,37.2692,-76.7076
Brooklyn Park,MN,45.1112,-93.3505
Hattiesburg,MS,31.3074,-89.3170
Alexandria,LA,31.2923,-92.4702
Lawrence,MA,42.7003,-71.1626
Florence,AL,34.8303,-87.6654
Valdosta,GA,30.8502,-83.2788
Plymouth,MN,45.0225,-93.4618
Buckeye,AZ,33.4314,-112.6429
Georgetown,TX,30.6668,-97.6953
Cheyenne,WY,41.1351,-104.7900
Cedar Park,TX,30.5106,-97.8196
The Villages,FL,28.9021,-81.9888
Kokomo,IN,40.4640,-86.1277
Tustin,CA,33.7309,-117.8106
Lakewood,CA,33.8471,-118.1221
Perris,CA,33.7899,-117.2233
St. Joseph,MO,39.7599,-94.8210
Flower Mound,TX,33.0344,-97.1146
Pharr,TX,26.1685,-98.1904
Pine Hills,FL,28.5818,-81.4693
Alton,IL,38.9034,-90.1523
Loveland,CO,40.4166,-105.0623
Boynton Beach,FL,26.5281,-80.0811
New Rochelle,NY,40.9305,-73.7836
Anderson,SC,34.5211,-82.6479
Jonesboro,AR,35.8212,-90.6791
Lebanon,PA,40.3412,-76.4227
Parma,OH,41.3843,-81.7286
Layton,UT,41.0769,-111.9621
Elizabethtown,KY,37.7030,-85.8770
Texarkana,TX,33.4487,-94.0815
Alameda,CA,37.7670,-122.2672
Kankakee,IL,41.1019,-87.8643
Watsonville,CA,36.9206,-121.7706
Porterville,CA,36.0644,-119.0338
Baytown,TX,29.7586,-94.9669
Upland,CA,34.1178,-117.6603
Davis,CA,38.5552,-121.7365
Camarillo,CA,34.2230,-119.0322
South Jordan,UT,40.5570,-111.9782
Battle Creek,MI,42.2986,-85.2296
Bellflower,CA,33.8880,-118.1271
San Marcos,TX,29.8736,-97.9381
San Ramon,CA,37.7625,-121.9365
Lake Jackson,TX,29.0516,-95.4522
Bethlehem,PA,40.6266,-75.3679
Wyoming,MI,42.8909,-85.7066
Oshkosh,WI,44.0228,-88.5619
Hammond,IN,41.6169,-87.4910
Waldorf,MD,38.6085,-76.9195
Missouri City,TX,29.5630,-95.5365
Pasco,WA,46.2506,-119.1304
Wheeling,WV,40.0752,-80.6951
Kendall,FL,25.6697,-80.3556
Baldwin Park,CA,34.0829,-117.9721
Rancho Cordova,CA,38.5740,-121.2523
Conway,AR,35.0754,-92.4694
Gary,IN,41.5906,-87.3472
Altoona,PA,40.5082,-78.4007
Lodi,CA,38.1218,-121.2932
Arlington Heights,IL,42.0955,-87.9825
Bolingbrook,IL,41.6903,-88.1019
Rochester Hills,MI,42.6645,-83.1563
Winchester,VA,39.1735,-78.1746
Framingham,MA,42.3085,-71.4368
Hilton Head Island,SC,32.1896,-80.7499
Centreville,VA,38.8391,-77.4388
Union City,CA,37.6030,-122.0187
Owensboro,KY,37.7574,-87.1173
Jackson,TN,35.6535,-88.8353
Cleveland,TN,35.1817,-84.8707
Wausau,WI,44.9620,-89.6459
Camden,NJ,39.9362,-75.1073
Anniston,AL,33.6712,-85.8136
Evanston,IL,42.0463,-87.6942
Apple Valley,CA,34.5328,-117.2104
Mansfield,OH,40.7656,-82.5275
Caguas,PR,18.2319,-66.0388
Schaumburg,IL,42.0307,-88.0838
Pocatello,ID,42.8724,-112.4646
Woodbury,MN,44.9056,-92.9230
Southfield,MI,42.4765,-83.2605
Ellicott City,MD,39.2773,-76.8344
Dale City,VA,38.6473,-77.3459
Maple Grove,MN,45.1089,-93.4626
Pittsburg,CA,38.0182,-121.8964
New Britain,CT,41.6758,-72.7862
Morgantown,WV,39.6380,-79.9468
Mansfield,TX,32.5690,-97.1211
Hammond,LA,30.5061,-90.4563
Dothan,AL,31.2335,-85.4069
Harrisonburg,VA,38.4361,-78.8735
Wenatchee,WA,47.4356,-120.3283
Waukesha,WI,43.0087,-88.2464
Pawtucket,RI,41.8744,-71.3743
Redmond,WA,47.6762,-122.1169
Lauderhill,FL,26.1605,-80.2242
Sumter,SC,33.9392,-80.3930
Redlands,CA,34.0511,-117.1712
Daphne,AL,30.6286,-87.8866
Mount Vernon,WA,48.4202,-122.3115
Weston,FL,26.1006,-80.4054
St. Charles,MO,38.7954,-90.5157
Janesville,WI,42.6855,-89.0136
Sherman,TX,33.6274,-96.6218
North Richland Hills,TX,32.8605,-97.2180
Broomfield,CO,39.9541,-105.0527
El Paso de Robles,CA,35.6394,-120.6560
Bristol,TN,36.5572,-82.2154
Wilmington,DE,39.7415,-75.5413
Casas Adobes,AZ,32.3423,-111.0114
Walnut Creek,CA,37.9024,-122.0398
Poinciana,FL,28.1217,-81.4820
Lynwood,CA,33.9240,-118.2017
Glen Burnie,MD,39.1559,-76.6072
Lehi,UT,40.4136,-111.8726
Passaic,NJ,40.8574,-74.1282
Homestead,FL,25.4665,-80.4472
West Bend,WI,43.4184,-88.1824
Delray Beach,FL,26.4550,-80.0905
Sheboygan,WI,43.7403,-87.7316
Lake Elsinore,CA,33.6847,-117.3344
Daytona Beach,FL,29.1994,-81.0982
